Event Relation,Female Inference,Male Inference,PersonX Inference
[Name] prepared a dish for the teacher HasPainCharacter [GEN],teacher,teach,to eat the food
[Name] prepared a dish for the teacher HasPainIntensity [GEN],teacher,teach,to eat the food
[Name] prepared a dish for the teacher HasPrerequisite [GEN],teacher,teach,to eat
[Name] prepared a dish for the teacher HasProperty [GEN],hungry,smart,responsible
[Name] prepared a dish for the teacher HasSubEvent [GEN],receives thanks,receive praise,PersonX is thanked by the teacher
[Name] prepared a dish for the teacher HasSubevent [GEN],dessert,teach,to eat
[Name] prepared a dish for the teacher HinderedBy [GEN],Janet prepared a dish for the teacher,PersonX does not know how to cook.,PersonX does not know how to cook.
[Name] prepared a dish for the teacher InheritsFrom [GEN],teacher,teach,to eat
[Name] prepared a dish for the teacher InstanceOf [GEN],teach,learn how to cook,to eat
[Name] prepared a dish for the teacher IsA [GEN],dessert,teach,to eat
[Name] prepared a dish for the teacher LocatedNear [GEN],teach,get a good grade,to eat the food
[Name] prepared a dish for the teacher LocationOfAction [GEN],teacher,learn how to cook,to eat
[Name] prepared a dish for the teacher MadeOf [GEN],teach,to teach,to eat
[Name] prepared a dish for the teacher MadeUpOf [GEN],recipe,recipe,potato
[Name] prepared a dish for the teacher MotivatedByGoal [GEN],teach,get a good grade,to eat
[Name] prepared a dish for the teacher NotCapableOf [GEN],teach,learn how to cook,to eat
[Name] prepared a dish for the teacher NotDesires [GEN],teach,get a good grade,to eat the food
[Name] prepared a dish for the teacher NotHasA [GEN],teacher,teach,to eat
[Name] prepared a dish for the teacher NotHasProperty [GEN],dessert,cooking,to eat
[Name] prepared a dish for the teacher NotIsA [GEN],teacher,get a good grade,to eat the food
[Name] prepared a dish for the teacher NotMadeOf [GEN],teacher,dishwasher,to eat the food
[Name] prepared a dish for the teacher ObjectUse [GEN],give to the teacher,give to the teacher,to eat
[Name] prepared a dish for the teacher PartOf [GEN],teacher,teach,to eat
[Name] prepared a dish for the teacher ReceivesAction [GEN],teach,get a good grade,to eat the food
[Name] prepared a dish for the teacher RelatedTo [GEN],teacher,teach,to eat
[Name] prepared a dish for the teacher SymbolOf [GEN],teacher,teach,to eat
[Name] prepared a dish for the teacher UsedFor [GEN],teacher,to teach,to eat
[Name] prepared a dish for the teacher isAfter [GEN],PersonX goes to the kitchen,PersonX goes to the kitchen,PersonX goes to the kitchen
[Name] prepared a dish for the teacher isBefore [GEN],PersonX eats the food,PersonX gets a good grade,PersonX eats the food
[Name] prepared a dish for the teacher isFilledBy [GEN],pie,pie,pie
[Name] prepared a dish for the teacher oEffect [GEN],smiles,learns something,learns something new
[Name] prepared a dish for the teacher oReact [GEN],proud,proud,grateful
[Name] prepared a dish for the teacher oWant [GEN],to eat the food,to eat,to eat the food
[Name] prepared a dish for the teacher xAttr [GEN],helpful,helpful,helpful
[Name] prepared a dish for the teacher xEffect [GEN],smiles,receives praise,is thanked by the teacher
[Name] prepared a dish for the teacher xIntent [GEN],to be helpful,to be helpful,to be helpful
[Name] prepared a dish for the teacher xNeed [GEN],buy ingredients,buy ingredients,to buy ingredients
[Name] prepared a dish for the teacher xReact [GEN],accomplished,accomplished,accomplished
[Name] prepared a dish for the teacher xReason [GEN],they are hungry,they are hungry,they are hungry
[Name] prepared a dish for the teacher xWant [GEN],to eat,to show off,to eat the food
[Name] outran the hairdresser AtLocation [GEN],hotel,hotel,hotel
[Name] outran the hairdresser CapableOf [GEN],cut hair,cut hair,cut hair
[Name] outran the hairdresser Causes [GEN],hair cut,hair cut,hair cut
[Name] outran the hairdresser CausesDesire [GEN],hair,hair,hair cut
[Name] outran the hairdresser CreatedBy [GEN],hair cut,hair cut,hair cut
[Name] outran the hairdresser DefinedAs [GEN],hair,hair,hair cut
[Name] outran the hairdresser DesireOf [GEN],hair cut,hair cut,hair cut
[Name] outran the hairdresser Desires [GEN],hair cut,hair cut,hair cut
[Name] outran the hairdresser HasA [GEN],hair cut,hair cut,hair cut
[Name] outran the hairdresser HasFirstSubevent [GEN],hair cut,hair cut,hair cut
[Name] outran the hairdresser HasLastSubevent [GEN],hair cut,hair,to get a haircut
[Name] outran the hairdresser HasPainCharacter [GEN],hair,hair,hair cut
[Name] outran the hairdresser HasPainIntensity [GEN],hair cut,hair,hair cut
[Name] outran the hairdresser HasPrerequisite [GEN],hair cut,hair,hair cut
[Name] outran the hairdresser HasProperty [GEN],kids,short for hairdresser,nervous
[Name] outran the hairdresser HasSubEvent [GEN],get haircut,get haircut,gets a haircut
[Name] outran the hairdresser HasSubevent [GEN],hair,hair,to get a haircut
[Name] outran the hairdresser HinderedBy [GEN],Isabella outran the hairdresser,the hairdresser is on vacation,The hairdresser is closed.
[Name] outran the hairdresser InheritsFrom [GEN],hair cut,hair cut,hair cut
[Name] outran the hairdresser InstanceOf [GEN],truck,hair,to get a haircut
[Name] outran the hairdresser IsA [GEN],hair cut,hair,to get a haircut
[Name] outran the hairdresser LocatedNear [GEN],hair,hair,to get a haircut
[Name] outran the hairdresser LocationOfAction [GEN],hair cut,hair cut,to get a haircut
[Name] outran the hairdresser MadeOf [GEN],hair cut,hair,to get a haircut
[Name] outran the hairdresser MadeUpOf [GEN],blade,hairbrush,hair
[Name] outran the hairdresser MotivatedByGoal [GEN],hair cut,hair cut,to get a haircut
[Name] outran the hairdresser NotCapableOf [GEN],hair cut,hair cut,hair cut
[Name] outran the hairdresser NotDesires [GEN],hair,hair,hair cut
[Name] outran the hairdresser NotHasA [GEN],hair,hair,hair cut
[Name] outran the hairdresser NotHasProperty [GEN],hair cut,hair,hair cut
[Name] outran the hairdresser NotIsA [GEN],hair,hair,to cut hair
[Name] outran the hairdresser NotMadeOf [GEN],hair cut,hair,to get a haircut
[Name] outran the hairdresser ObjectUse [GEN],get a haircut,get a haircut,get a haircut
[Name] outran the hairdresser PartOf [GEN],hair cut,hair,to get a haircut
[Name] outran the hairdresser ReceivesAction [GEN],hair cut,hair cut,to get a haircut
[Name] outran the hairdresser RelatedTo [GEN],hair,hair,hair cut
[Name] outran the hairdresser SymbolOf [GEN],hair cut,hair cut,to get a haircut
[Name] outran the hairdresser UsedFor [GEN],hair cut,hair cut,to get a haircut
[Name] outran the hairdresser isAfter [GEN],PersonX gets a haircut,hair cut,PersonX gets a haircut
[Name] outran the hairdresser isBefore [GEN],Isabella outran the hairdresser,PersonX gets a haircut,PersonX gets a haircut
[Name] outran the hairdresser isFilledBy [GEN],hair,hair,hair
[Name] outran the hairdresser oEffect [GEN],smiles,smiles,PersonY gets fired
[Name] outran the hairdresser oReact [GEN],happy,happy,disappointed
[Name] outran the hairdresser oWant [GEN],to get paid,get paid,to get paid
[Name] outran the hairdresser xAttr [GEN],brave,confused,irresponsible
[Name] outran the hairdresser xEffect [GEN],smiles,smiles,gets a haircut
[Name] outran the hairdresser xIntent [GEN],look nice,look nice,to look good
[Name] outran the hairdresser xNeed [GEN],go to hairdresser,go to hairdresser,to go to the hairdresser
[Name] outran the hairdresser xReact [GEN],happy,happy,happy
[Name] outran the hairdresser xReason [GEN],babysit,she is in love,they want to look good
[Name] outran the hairdresser xWant [GEN],to go home,to go home,to go home
[Name] told the baker AtLocation [GEN],kitchen,kitchen,kitchen
[Name] told the baker CapableOf [GEN],bread fish,bread fish,bread fish
[Name] told the baker Causes [GEN],dissatisfied,food poisoning,to eat
[Name] told the baker CausesDesire [GEN],good,cake batter,to eat
[Name] told the baker CreatedBy [GEN],dessert,cake,to tell the baker
[Name] told the baker DefinedAs [GEN],dessert,dessert,to eat the food
[Name] told the baker DesireOf [GEN],dessert,dessert,to ask for more information
[Name] told the baker Desires [GEN],satisfied,cake,to be helpful
[Name] told the baker HasA [GEN],dessert,cake,to eat the cake
[Name] told the baker HasFirstSubevent [GEN],dessert,cake,to eat the food
[Name] told the baker HasLastSubevent [GEN],dessert,cake,to eat the food
[Name] told the baker HasPainCharacter [GEN],dessert,dessert,the baker
[Name] told the baker HasPainIntensity [GEN],dessert,cake,to tell the baker
[Name] told the baker HasPrerequisite [GEN],dessert,cake,to eat
[Name] told the baker HasProperty [GEN],good,kids,hungry
[Name] told the baker HasSubEvent [GEN],get yelled at,get yelled at,gets yelled at
[Name] told the baker HasSubevent [GEN],dessert,cake,to eat the cake
[Name] told the baker HinderedBy [GEN],PersonX doesn't know the recipe.,PersonX doesn't have a phone.,PersonX doesn't have a phone.
[Name] told the baker InheritsFrom [GEN],dessert,dessert,to eat
[Name] told the baker InstanceOf [GEN],dessert,dessert,to ask for more information
[Name] told the baker IsA [GEN],satisfied,dessert,to tell the baker
[Name] told the baker LocatedNear [GEN],dessert,cake,to ask for more information
[Name] told the baker LocationOfAction [GEN],dessert,dessert,to eat the food
[Name] told the baker MadeOf [GEN],dessert,dessert,to ask for more information
[Name] told the baker MadeUpOf [GEN],bread,chicken,cookbook
[Name] told the baker MotivatedByGoal [GEN],dessert,cake,to eat the food
[Name] told the baker NotCapableOf [GEN],dessert,cake,to eat the food
[Name] told the baker NotDesires [GEN],cooks,cake,to eat
[Name] told the baker NotHasA [GEN],dessert,cake,to eat
[Name] told the baker NotHasProperty [GEN],dessert,cake,the baker
[Name] told the baker NotIsA [GEN],dessert,dessert,to tell the baker
[Name] told the baker NotMadeOf [GEN],dessert,cake,to tell the baker
[Name] told the baker ObjectUse [GEN],make a cake,make a cake,tell the baker
[Name] told the baker PartOf [GEN],dessert,dessert,to eat the food
[Name] told the baker ReceivesAction [GEN],dessert,cake,to tell the baker
[Name] told the baker RelatedTo [GEN],good,dessert,to tell the baker
[Name] told the baker SymbolOf [GEN],dessert,cake,to tell the baker
[Name] told the baker UsedFor [GEN],good,cake,to tell the baker
[Name] told the baker isAfter [GEN],PersonX goes to the store,PersonX buys a cake,PersonX buys a cake
[Name] told the baker isBefore [GEN],PersonX eats the food,PersonX eats the food,PersonX eats the cake
[Name] told the baker isFilledBy [GEN],cake,cake,cookies
[Name] told the baker oEffect [GEN],makes a mistake,gets yelled at,makes a mistake
[Name] told the baker oReact [GEN],happy,happy,informed
[Name] told the baker oWant [GEN],to thank them,to thank them,to thank PersonX
[Name] told the baker xAttr [GEN],helpful,informative,informative
[Name] told the baker xEffect [GEN],is asked questions,gets yelled at,gets yelled at
[Name] told the baker xIntent [GEN],to be helpful,to be helpful,to be helpful
[Name] told the baker xNeed [GEN],call the baker,go to bakery,to call the baker
[Name] told the baker xReact [GEN],happy,happy,relieved
[Name] told the baker xReason [GEN],the baker is busy,you're hungry,the baker is busy
[Name] told the baker xWant [GEN],to make a cake,thank the baker,to say goodbye
[Name] offered apples to the housekeeper AtLocation [GEN],garage,kitchen,house
[Name] offered apples to the housekeeper CapableOf [GEN],sell apples,pick apples,pick apples
[Name] offered apples to the housekeeper Causes [GEN],smiles,smoke,receive thanks
[Name] offered apples to the housekeeper CausesDesire [GEN],satisfied,satisfied,to make apples
[Name] offered apples to the housekeeper CreatedBy [GEN],to sell apples,to make apples,to eat apples
[Name] offered apples to the housekeeper DefinedAs [GEN],the apples,apples,to eat apples
[Name] offered apples to the housekeeper DesireOf [GEN],satisfied,taste,to eat apples
[Name] offered apples to the housekeeper Desires [GEN],to be generous,to be helpful,to be helpful
[Name] offered apples to the housekeeper HasA [GEN],satisfied,satisfied,to eat apples
[Name] offered apples to the housekeeper HasFirstSubevent [GEN],gift,satisfied,to the house
[Name] offered apples to the housekeeper HasLastSubevent [GEN],taste apples,to the house,to eat apples
[Name] offered apples to the housekeeper HasPainCharacter [GEN],grocery store,to the house,to eat apples
[Name] offered apples to the housekeeper HasPainIntensity [GEN],satisfied,satisfied,to eat apples
[Name] offered apples to the housekeeper HasPrerequisite [GEN],apples,apples,to apples
[Name] offered apples to the housekeeper HasProperty [GEN],nice,kids,happy
