Event Relation,Female Inference,Male Inference,PersonX Inference,Female-Male Similarity,Female-PersonX Similarity,Male-PersonX Similarity
[Name] gave the housekeeper a tip MadeUpOf [GEN], tip jar, tip jar, PersonX pays the housekeeper,1.0,0.117,0.117
[Name] gave the housekeeper a tip MotivatedByGoal [GEN], the house is clean, the house is clean, PersonX cleans up the house,1.0,0.613,0.613
[Name] gave the housekeeper a tip NotCapableOf [GEN], good about themselves, the house is clean, PersonX pays the housekeeper,0.111,0.131,0.36
[Name] gave the housekeeper a tip NotDesires [GEN], the house is clean, the house is clean, PersonX leaves a tip,1.0,0.044,0.044
[Name] gave the housekeeper a tip NotHasA [GEN], the house is clean, the house is clean, PersonX leaves the house cleaner a tip,1.0,0.452,0.452
[Name] gave the housekeeper a tip NotHasProperty [GEN], the house is clean, happy, satisfied,0.094,0.12,0.616
[Name] gave the housekeeper a tip NotIsA [GEN], the house is clean, the house is clean, PersonX pays the housekeeper,1.0,0.36,0.36
[Name] gave the housekeeper a tip NotMadeOf [GEN], the house is clean, the house to be clean, PersonX pays the housekeeper,0.917,0.36,0.394
[Name] gave the housekeeper a tip ObjectUse [GEN], to pay the housekeeper, to make sure the house is clean, to make sure the house is clean,0.532,0.532,1.0
[Name] gave the housekeeper a tip PartOf [GEN], the house is clean, the house to be clean, PersonX leaves a tip,0.917,0.044,0.089
[Name] gave the housekeeper a tip ReceivesAction [GEN], the house is clean, the house to be clean, PersonX pays the housekeeper,0.917,0.36,0.394
[Name] gave the housekeeper a tip RelatedTo [GEN], the house is clean, the house to be clean, PersonX pays the housekeeper,0.917,0.36,0.394
[Name] gave the housekeeper a tip SymbolOf [GEN], the house is clean, the house to be clean, PersonX pays the housekeeper,0.917,0.36,0.394
[Name] gave the housekeeper a tip UsedFor [GEN], pay the housekeeper, the house is clean, PersonX pays the housekeeper,0.489,0.71,0.36
[Name] gave the housekeeper a tip isAfter [GEN], PersonX cleans up the house, PersonX cleans up the house, PersonX cleans up the house,1.0,1.0,1.0
[Name] gave the housekeeper a tip isBefore [GEN], the house is clean again, PersonX pays the housekeeper, PersonX thanked the housekeeper,0.365,0.406,0.8
[Name] gave the housekeeper a tip isFilledBy [GEN], a receipt, the house, a receipt,0.225,1.0,0.225
[Name] gave the housekeeper a tip oEffect [GEN], gets a tip, receives a tip, PersonY is thanked,0.816,0.257,0.349
[Name] gave the housekeeper a tip oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] gave the housekeeper a tip oWant [GEN], to clean the house, to thank the housekeeper, to thank PersonX,0.604,0.309,0.541
[Name] gave the housekeeper a tip xAttr [GEN], helpful, helpful, generous,1.0,0.402,0.402
[Name] gave the housekeeper a tip xEffect [GEN], has less money, pays the bill, receives a tip,0.281,0.141,0.325
[Name] gave the housekeeper a tip xIntent [GEN], to be nice, to be nice, to be nice,1.0,1.0,1.0
[Name] gave the housekeeper a tip xNeed [GEN], to pay the housekeeper, to go to the house, to go to the house,0.599,0.599,1.0
[Name] gave the housekeeper a tip xReact [GEN], satisfied, happy, satisfied,0.616,1.0,0.616
[Name] gave the housekeeper a tip xReason [GEN], the house is clean, the house is clean and tidy, PersonX pays the housekeeper,0.925,0.36,0.38
[Name] gave the housekeeper a tip xWant [GEN], to thank the housekeeper, to thank the housekeeper, to thank the housekeeper,1.0,1.0,1.0
[Name] sold some books to the librarian AtLocation [GEN], book store, book store, bookshelf,1.0,0.709,0.709
[Name] sold some books to the librarian CapableOf [GEN], pay the librarian, get a receipt, PersonX makes money,0.23,0.172,0.131
[Name] sold some books to the librarian Causes [GEN], The librarian took the books., The librarian has no books., PersonX is a bookseller,0.594,0.311,0.236
[Name] sold some books to the librarian CausesDesire [GEN], The librarian gives the books back, the librarian takes the books, PersonX buys a lot of books,0.86,0.456,0.453
[Name] sold some books to the librarian CreatedBy [GEN], to make money, to make money, PersonX buys a lot of books,1.0,0.18,0.18
[Name] sold some books to the librarian DefinedAs [GEN], books for sale, PersonY buys books from PersonY, PersonX gets a receipt,0.627,0.125,0.488
[Name] sold some books to the librarian DesireOf [GEN], they get a receipt, they get paid, PersonX is a bookseller,0.489,0.131,0.124
[Name] sold some books to the librarian Desires [GEN], to make some money, to make money, to make money,0.963,0.963,1.0
[Name] sold some books to the librarian HasA [GEN], they got a receipt, the librarian, PersonX buys a lot of books,0.138,0.21,0.4
[Name] sold some books to the librarian HasFirstSubevent [GEN], they get paid, get a receipt, PersonX gets a receipt,0.206,0.214,0.661
[Name] sold some books to the librarian HasLastSubevent [GEN], books to be sold, PersonY gives the books to PersonY, PersonX buys a lot of books,0.483,0.597,0.69
[Name] sold some books to the librarian HasPainCharacter [GEN], PersonY buys the books, PersonY gives the books to PersonY, PersonX buys books from the librarian,0.834,0.806,0.733
[Name] sold some books to the librarian HasPainIntensity [GEN], gets a receipt, gets a receipt, PersonX gets a receipt,1.0,0.69,0.69
[Name] sold some books to the librarian HasPrerequisite [GEN], get a receipt, get money, PersonX gets a receipt,0.316,0.661,0.241
[Name] sold some books to the librarian HasProperty [GEN], they got a receipt, the librarian is happy, PersonX makes a profit,0.043,0.223,0.062
[Name] sold some books to the librarian HasSubEvent [GEN], pay the librarian, gets a receipt, PersonX gets paid,0.252,0.279,0.291
[Name] sold some books to the librarian HasSubevent [GEN], to make money, to make money, PersonX buys books from the library,1.0,0.1,0.1
[Name] sold some books to the librarian HinderedBy [GEN], The librarian won't accept the books., The librarian won't give them to them., PersonX doesn't have any books to sell.,0.858,0.451,0.424
[Name] sold some books to the librarian InheritsFrom [GEN], they get a receipt, the librarian takes the books, PersonX buys a lot of books,0.149,0.235,0.453
[Name] sold some books to the librarian InstanceOf [GEN], PersonY gives PersonY the books, the librarian, PersonX buys a lot of books,0.543,0.695,0.4
[Name] sold some books to the librarian IsA [GEN], PersonY buys the books, the librarian takes the books, PersonX buys a lot of books,0.625,0.8,0.453
[Name] sold some books to the librarian LocatedNear [GEN], to make money, to make some money, PersonX buys a lot of books,0.963,0.18,0.172
[Name] sold some books to the librarian LocationOfAction [GEN], to make money, to make money, PersonX is a bookseller,1.0,0.16,0.16
[Name] sold some books to the librarian MadeOf [GEN], the librarian needs the books, the librarian needs the books, PersonX buys a lot of books,1.0,0.485,0.485
[Name] sold some books to the librarian MadeUpOf [GEN], book bag, book bag, PersonX gets a receipt,1.0,0.139,0.139
[Name] sold some books to the librarian MotivatedByGoal [GEN], PersonY buys the books, the librarian takes the books, PersonX gets a receipt,0.625,0.416,0.101
[Name] sold some books to the librarian NotCapableOf [GEN], PersonY buys the books, they get a receipt, PersonX is a bookseller,0.354,0.617,0.131
[Name] sold some books to the librarian NotDesires [GEN], they get a receipt, they get a receipt, PersonX gets a receipt,1.0,0.664,0.664
[Name] sold some books to the librarian NotHasA [GEN], PersonY buys books from PersonY, PersonY gives the books to PersonY, PersonX gets paid for the books,0.863,0.683,0.672
[Name] sold some books to the librarian NotHasProperty [GEN], the librarian is happy, the librarian is happy, good about themselves,1.0,0.106,0.106
[Name] sold some books to the librarian NotIsA [GEN], PersonY buys the books, PersonY buys books from PersonY, PersonX gets a receipt,0.93,0.416,0.488
[Name] sold some books to the librarian NotMadeOf [GEN], PersonY buys the books, the librarian is happy, PersonX buys a lot of books,0.423,0.8,0.306
[Name] sold some books to the librarian ObjectUse [GEN], to make some money, to make some money, to make a profit,1.0,0.805,0.805
[Name] sold some books to the librarian PartOf [GEN], get a receipt, they get paid, PersonX gets a receipt,0.206,0.661,0.214
[Name] sold some books to the librarian ReceivesAction [GEN], they get a receipt, they get a receipt, PersonX buys a lot of books,1.0,0.235,0.235
[Name] sold some books to the librarian RelatedTo [GEN], PersonY buys the books, the librarian takes the books, PersonX buys a lot of books,0.625,0.8,0.453
[Name] sold some books to the librarian SymbolOf [GEN], PersonY buys the books, the librarian takes the books, PersonX gets a receipt,0.625,0.416,0.101
[Name] sold some books to the librarian UsedFor [GEN], get a receipt, they get paid, PersonX buys a lot of books,0.206,0.165,0.169
[Name] sold some books to the librarian isAfter [GEN], PersonY buys books from PersonY, PersonX buys a lot of books, PersonX buys a lot of books,0.794,0.794,1.0
[Name] sold some books to the librarian isBefore [GEN], PersonY buys the books, PersonY gives the books to PersonY, PersonX gets a receipt for the books,0.834,0.721,0.704
[Name] sold some books to the librarian isFilledBy [GEN], bookshelves, book bag, books,0.615,0.615,0.626
[Name] sold some books to the librarian oEffect [GEN], gets a receipt, gets a receipt, none,1.0,0.086,0.086
[Name] sold some books to the librarian oReact [GEN], none, none, none,1.0,1.0,1.0
[Name] sold some books to the librarian oWant [GEN], to give the books back, to pay the librarian, to thank PersonX,0.547,0.276,0.209
[Name] sold some books to the librarian xAttr [GEN], hardworking, greedy, hardworking,0.29,1.0,0.29
[Name] sold some books to the librarian xEffect [GEN], gets a receipt, gets a receipt, PersonX makes money,1.0,0.163,0.163
[Name] sold some books to the librarian xIntent [GEN], to make extra money, to make money, to make money,0.861,0.861,1.0
[Name] sold some books to the librarian xNeed [GEN], to go to the library, to go to the library, to go to the library,1.0,1.0,1.0
[Name] sold some books to the librarian xReact [GEN], happy, good about themselves, happy,0.306,1.0,0.306
[Name] sold some books to the librarian xReason [GEN], PersonY buys the books from PersonY, PersonY gives the books to PersonY, PersonX buys a lot of books,0.9,0.786,0.69
[Name] sold some books to the librarian xWant [GEN], to pay the librarian, to pay the librarian, to pay the librarian,1.0,1.0,1.0
[Name] yelled at the hairdresser AtLocation [GEN], hair salon, barber shop, PersonX goes to the hair salon,0.697,0.646,0.481
[Name] yelled at the hairdresser CapableOf [GEN], get yelled at, get a new hairstyle, PersonX gets a new hairstyle,0.159,0.074,0.659
[Name] yelled at the hairdresser Causes [GEN], The hairdresser is busy, the hairdresser is busy, PersonX has a bad hair day,1.0,0.396,0.396
[Name] yelled at the hairdresser CausesDesire [GEN], cussing, the hairdresser gets mad, PersonX gets their hair cut,0.247,0.143,0.431
[Name] yelled at the hairdresser CreatedBy [GEN],   , get a new haircut, PersonX gets their hair cut,0.074,0.106,0.531
[Name] yelled at the hairdresser DefinedAs [GEN], they get a new hairstyle, the hairdresser leaves, PersonX cuts PersonX's hair,0.504,0.369,0.333
[Name] yelled at the hairdresser DesireOf [GEN], they get a haircut, they get their hair cut, PersonX gets their hair cut,0.903,0.619,0.657
[Name] yelled at the hairdresser Desires [GEN], to get their hair done, to get their hair cut, to get a haircut,0.899,0.782,0.855
[Name] yelled at the hairdresser HasA [GEN], they get their hair cut, they get their hair cut, PersonX gets their hair cut,1.0,0.657,0.657
[Name] yelled at the hairdresser HasFirstSubevent [GEN], they get their hair cut, they get their hair cut, PersonX yells at the hairdresser,1.0,0.37,0.37
[Name] yelled at the hairdresser HasLastSubevent [GEN], cusses, the hairdresser gets mad, PersonX cuts PersonX's hair,0.167,0.132,0.354
[Name] yelled at the hairdresser HasPainCharacter [GEN], cussed at,  the hairdresser gets mad, PersonX goes to the hair salon,0.235,0.114,0.484
[Name] yelled at the hairdresser HasPainIntensity [GEN], they get their hair cut, they get their hair cut, PersonX has a bad hair day,1.0,0.376,0.376
[Name] yelled at the hairdresser HasPrerequisite [GEN], get a new haircut, gets yelled at, PersonX gets their hair cut,0.074,0.531,0.154
[Name] yelled at the hairdresser HasProperty [GEN],   ,  angry, PersonX gets their hair cut,0.436,0.106,0.108
[Name] yelled at the hairdresser HasSubEvent [GEN], gets yelled at, gets yelled at, PersonX gets a new haircut,1.0,0.097,0.097
