Event Relation,Female Inference,Male Inference,Unisex Inference,Female-Male Similarity,Female-Unisex Similarity,Male-Unisex Similarity
[Name] sold some books to the librarian ReceivesAction [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian RelatedTo [GEN],librarian,librarian,books,1.0,0.585,0.585
[Name] sold some books to the librarian SymbolOf [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian UsedFor [GEN],librarian,librarian,librarian,1.0,1.0,1.0
[Name] sold some books to the librarian isAfter [GEN],PersonX goes to the bookstore,bookstore,PersonX sells some books,0.583,0.858,0.577
[Name] sold some books to the librarian isBefore [GEN],Barbara sold some books to the librarian,PersonX gives the books to the librarian,Dakota sold some books to the librarian,0.628,0.788,0.596
[Name] sold some books to the librarian isFilledBy [GEN],books,books,books,1.0,1.0,1.0
[Name] sold some books to the librarian oEffect [GEN],gains knowledge,reads books,gains knowledge,0.389,1.0,0.389
[Name] sold some books to the librarian oReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] sold some books to the librarian oWant [GEN],to buy books,to buy books,to buy books,1.0,1.0,1.0
[Name] sold some books to the librarian xAttr [GEN],helpful,helpful,helpful,1.0,1.0,1.0
[Name] sold some books to the librarian xEffect [GEN],makes money,makes money,makes money,1.0,1.0,1.0
[Name] sold some books to the librarian xIntent [GEN],to make money,to sell books,money,0.516,0.65,0.363
[Name] sold some books to the librarian xNeed [GEN],go to the librarian,buy books,have books to sell,0.485,0.395,0.776
[Name] sold some books to the librarian xReact [GEN],accomplished,accomplished,accomplished,1.0,1.0,1.0
[Name] sold some books to the librarian xReason [GEN],the librarian is busy,the librarian is busy,Dakota sold some books to the librarian,1.0,0.56,0.56
[Name] sold some books to the librarian xWant [GEN],to sell more books,to sell more books,sell more books,1.0,0.877,0.877
[Name] yelled at the hairdresser AtLocation [GEN],bar,hair salon,bar,0.264,1.0,0.264
[Name] yelled at the hairdresser CapableOf [GEN],cut hair,cut hair,demand refund,1.0,0.14,0.14
[Name] yelled at the hairdresser Causes [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] yelled at the hairdresser CausesDesire [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] yelled at the hairdresser CreatedBy [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] yelled at the hairdresser DefinedAs [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser DesireOf [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] yelled at the hairdresser Desires [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] yelled at the hairdresser HasA [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] yelled at the hairdresser HasFirstSubevent [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser HasLastSubevent [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser HasPainCharacter [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser HasPainIntensity [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser HasPrerequisite [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser HasProperty [GEN],kids,short for hairdresser,nervous,0.154,0.292,0.148
[Name] yelled at the hairdresser HasSubEvent [GEN],get yelled at,get yelled at,cry,1.0,0.403,0.403
[Name] yelled at the hairdresser HasSubevent [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser HinderedBy [GEN],Brittany yelled at the hairdresser,The hairdresser is out of town.,PersonX is in a wheelchair.,0.397,-0.01,0.046
[Name] yelled at the hairdresser InheritsFrom [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] yelled at the hairdresser InstanceOf [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser IsA [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] yelled at the hairdresser LocatedNear [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser LocationOfAction [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] yelled at the hairdresser MadeOf [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser MadeUpOf [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] yelled at the hairdresser MotivatedByGoal [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] yelled at the hairdresser NotCapableOf [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] yelled at the hairdresser NotDesires [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser NotHasA [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser NotHasProperty [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser NotIsA [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser NotMadeOf [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] yelled at the hairdresser ObjectUse [GEN],get a haircut,get a haircut,get a haircut,1.0,1.0,1.0
[Name] yelled at the hairdresser PartOf [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser ReceivesAction [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser RelatedTo [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser SymbolOf [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] yelled at the hairdresser UsedFor [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] yelled at the hairdresser isAfter [GEN],PersonX gets a haircut,PersonX gets a haircut,Jordan yelled at the hairdresser,1.0,0.302,0.302
[Name] yelled at the hairdresser isBefore [GEN],Brittany yelled at the hairdresser,PersonX leaves the salon,Jordan yelled at the hairdresser,0.284,0.71,0.249
[Name] yelled at the hairdresser isFilledBy [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] yelled at the hairdresser oEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] yelled at the hairdresser oReact [GEN],angry,angry,sad,1.0,0.315,0.315
[Name] yelled at the hairdresser oWant [GEN],Brittany yelled at the hairdresser,to get paid,to get paid,0.076,0.076,1.0
[Name] yelled at the hairdresser xAttr [GEN],mean,mean,mean,1.0,1.0,1.0
[Name] yelled at the hairdresser xEffect [GEN],gets yelled at,gets yelled at,gets yelled at,1.0,1.0,1.0
[Name] yelled at the hairdresser xIntent [GEN],to be rude,to show frustration,to show frustration,0.497,0.497,1.0
[Name] yelled at the hairdresser xNeed [GEN],Brittany yelled at the hairdresser,get angry,go to hairdresser,0.254,0.401,0.143
[Name] yelled at the hairdresser xReact [GEN],upset,upset,upset,1.0,1.0,1.0
[Name] yelled at the hairdresser xReason [GEN],hair cut,hair is messed up,hair cut,0.628,1.0,0.628
[Name] yelled at the hairdresser xWant [GEN],to cry,to yell at the hairdresser,leave,0.419,0.266,0.177
[Name] prepared a dish for the teacher AtLocation [GEN],kitchen,school,school,0.476,0.476,1.0
[Name] prepared a dish for the teacher CapableOf [GEN],teach,teach,cook dinner,1.0,0.14,0.14
[Name] prepared a dish for the teacher Causes [GEN],to teach,to teach,to eat,1.0,0.548,0.548
[Name] prepared a dish for the teacher CausesDesire [GEN],teach,teach,to eat,1.0,0.305,0.305
[Name] prepared a dish for the teacher CreatedBy [GEN],teacher,get a good grade,to eat,0.364,0.252,0.228
[Name] prepared a dish for the teacher DefinedAs [GEN],teacher,teach,cooks,0.725,0.277,0.249
[Name] prepared a dish for the teacher DesireOf [GEN],teacher,teach,cooks,0.725,0.277,0.249
[Name] prepared a dish for the teacher Desires [GEN],to be helpful,to be helpful,to be helpful,1.0,1.0,1.0
[Name] prepared a dish for the teacher HasA [GEN],teach,teach,cooks,1.0,0.249,0.249
[Name] prepared a dish for the teacher HasFirstSubevent [GEN],teach,get a good grade,cooks,0.427,0.249,0.138
[Name] prepared a dish for the teacher HasLastSubevent [GEN],teach,teach,to eat,1.0,0.305,0.305
[Name] prepared a dish for the teacher HasPainCharacter [GEN],teacher,teach,to eat,0.725,0.252,0.305
[Name] prepared a dish for the teacher HasPainIntensity [GEN],teacher,teach,to eat,0.725,0.252,0.305
[Name] prepared a dish for the teacher HasPrerequisite [GEN],teacher,teach,cooks,0.725,0.277,0.249
[Name] prepared a dish for the teacher HasProperty [GEN],hungry,smart,hungry,0.331,1.0,0.331
[Name] prepared a dish for the teacher HasSubEvent [GEN],receives thanks,receive praise,smiles,0.482,0.326,0.293
[Name] prepared a dish for the teacher HasSubevent [GEN],dessert,teach,cooks,0.206,0.381,0.249
[Name] prepared a dish for the teacher HinderedBy [GEN],Janet prepared a dish for the teacher,PersonX does not know how to cook.,Robin prepared a dish for the teacher,0.296,0.678,0.27
[Name] prepared a dish for the teacher InheritsFrom [GEN],teacher,teach,to eat,0.725,0.252,0.305
[Name] prepared a dish for the teacher InstanceOf [GEN],teach,learn how to cook,cooks,0.382,0.249,0.69
[Name] prepared a dish for the teacher IsA [GEN],dessert,teach,to eat,0.206,0.391,0.305
[Name] prepared a dish for the teacher LocatedNear [GEN],teach,get a good grade,to eat,0.427,0.305,0.228
[Name] prepared a dish for the teacher LocationOfAction [GEN],teacher,learn how to cook,cooks,0.187,0.277,0.69
[Name] prepared a dish for the teacher MadeOf [GEN],teach,to teach,to eat,0.821,0.305,0.548
[Name] prepared a dish for the teacher MadeUpOf [GEN],recipe,recipe,potato,1.0,0.407,0.407
[Name] prepared a dish for the teacher MotivatedByGoal [GEN],teach,get a good grade,to eat,0.427,0.305,0.228
[Name] prepared a dish for the teacher NotCapableOf [GEN],teach,learn how to cook,cooks,0.382,0.249,0.69
[Name] prepared a dish for the teacher NotDesires [GEN],teach,get a good grade,cooks,0.427,0.249,0.138
[Name] prepared a dish for the teacher NotHasA [GEN],teacher,teach,to eat,0.725,0.252,0.305
[Name] prepared a dish for the teacher NotHasProperty [GEN],dessert,cooking,cooks,0.496,0.381,0.801
[Name] prepared a dish for the teacher NotIsA [GEN],teacher,get a good grade,cooks,0.364,0.277,0.138
[Name] prepared a dish for the teacher NotMadeOf [GEN],teacher,dishwasher,to eat,0.27,0.252,0.289
[Name] prepared a dish for the teacher ObjectUse [GEN],give to the teacher,give to the teacher,give to the teacher,1.0,1.0,1.0
[Name] prepared a dish for the teacher PartOf [GEN],teacher,teach,to eat,0.725,0.252,0.305
[Name] prepared a dish for the teacher ReceivesAction [GEN],teach,get a good grade,to eat,0.427,0.305,0.228
[Name] prepared a dish for the teacher RelatedTo [GEN],teacher,teach,to eat,0.725,0.252,0.305
[Name] prepared a dish for the teacher SymbolOf [GEN],teacher,teach,to eat,0.725,0.252,0.305
[Name] prepared a dish for the teacher UsedFor [GEN],teacher,to teach,to eat,0.694,0.252,0.548
[Name] prepared a dish for the teacher isAfter [GEN],PersonX goes to the kitchen,PersonX goes to the kitchen,PersonX goes to the kitchen,1.0,1.0,1.0
[Name] prepared a dish for the teacher isBefore [GEN],PersonX eats the food,PersonX gets a good grade,PersonX eats the food,0.592,1.0,0.592
[Name] prepared a dish for the teacher isFilledBy [GEN],pie,pie,pie,1.0,1.0,1.0
[Name] prepared a dish for the teacher oEffect [GEN],smiles,learns something,smiles,0.202,1.0,0.202
[Name] prepared a dish for the teacher oReact [GEN],proud,proud,happy,1.0,0.523,0.523
[Name] prepared a dish for the teacher oWant [GEN],to eat the food,to eat,to eat the food,0.944,1.0,0.944
[Name] prepared a dish for the teacher xAttr [GEN],helpful,helpful,helpful,1.0,1.0,1.0
[Name] prepared a dish for the teacher xEffect [GEN],smiles,receives praise,smiles,0.306,1.0,0.306
[Name] prepared a dish for the teacher xIntent [GEN],to be helpful,to be helpful,to be helpful,1.0,1.0,1.0
[Name] prepared a dish for the teacher xNeed [GEN],buy ingredients,buy ingredients,buy ingredients,1.0,1.0,1.0
[Name] prepared a dish for the teacher xReact [GEN],accomplished,accomplished,accomplished,1.0,1.0,1.0
[Name] prepared a dish for the teacher xReason [GEN],they are hungry,they are hungry,they are hungry,1.0,1.0,1.0
[Name] prepared a dish for the teacher xWant [GEN],to eat,to show off,to impress the teacher,0.407,0.439,0.493
[Name] outran the hairdresser AtLocation [GEN],hotel,hotel,hair salon,1.0,0.365,0.365
[Name] outran the hairdresser CapableOf [GEN],cut hair,cut hair,cut hair,1.0,1.0,1.0
[Name] outran the hairdresser Causes [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] outran the hairdresser CausesDesire [GEN],hair,hair,hair cut,1.0,0.756,0.756
[Name] outran the hairdresser CreatedBy [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] outran the hairdresser DefinedAs [GEN],hair,hair,hair cut,1.0,0.756,0.756
[Name] outran the hairdresser DesireOf [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] outran the hairdresser Desires [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] outran the hairdresser HasA [GEN],hair cut,hair cut,hair,1.0,0.756,0.756
[Name] outran the hairdresser HasFirstSubevent [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] outran the hairdresser HasLastSubevent [GEN],hair cut,hair,hair cut,0.756,1.0,0.756
[Name] outran the hairdresser HasPainCharacter [GEN],hair,hair,hair cut,1.0,0.756,0.756
[Name] outran the hairdresser HasPainIntensity [GEN],hair cut,hair,hair cut,0.756,1.0,0.756
[Name] outran the hairdresser HasPrerequisite [GEN],hair cut,hair,hair cut,0.756,1.0,0.756
[Name] outran the hairdresser HasProperty [GEN],kids,short for hairdresser,nervous,0.154,0.292,0.148
[Name] outran the hairdresser HasSubEvent [GEN],get haircut,get haircut,get haircut,1.0,1.0,1.0
[Name] outran the hairdresser HasSubevent [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] outran the hairdresser HinderedBy [GEN],Isabella outran the hairdresser,the hairdresser is on vacation,Emerson outran the hairdresser,0.532,0.738,0.515
[Name] outran the hairdresser InheritsFrom [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] outran the hairdresser InstanceOf [GEN],truck,hair,hair cut,0.343,0.217,0.756
[Name] outran the hairdresser IsA [GEN],hair cut,hair,hair cut,0.756,1.0,0.756
[Name] outran the hairdresser LocatedNear [GEN],hair,hair,hair cut,1.0,0.756,0.756
[Name] outran the hairdresser LocationOfAction [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] outran the hairdresser MadeOf [GEN],hair cut,hair,,0.756,0.219,0.294
[Name] outran the hairdresser MadeUpOf [GEN],blade,hairbrush,hair,0.342,0.406,0.682
[Name] outran the hairdresser MotivatedByGoal [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] outran the hairdresser NotCapableOf [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] outran the hairdresser NotDesires [GEN],hair,hair,hair cut,1.0,0.756,0.756
[Name] outran the hairdresser NotHasA [GEN],hair,hair,hair cut,1.0,0.756,0.756
[Name] outran the hairdresser NotHasProperty [GEN],hair cut,hair,hair cut,0.756,1.0,0.756
[Name] outran the hairdresser NotIsA [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] outran the hairdresser NotMadeOf [GEN],hair cut,hair,hair cut,0.756,1.0,0.756
[Name] outran the hairdresser ObjectUse [GEN],get a haircut,get a haircut,get a haircut,1.0,1.0,1.0
[Name] outran the hairdresser PartOf [GEN],hair cut,hair,hair cut,0.756,1.0,0.756
[Name] outran the hairdresser ReceivesAction [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] outran the hairdresser RelatedTo [GEN],hair,hair,hair cut,1.0,0.756,0.756
[Name] outran the hairdresser SymbolOf [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] outran the hairdresser UsedFor [GEN],hair cut,hair cut,hair cut,1.0,1.0,1.0
[Name] outran the hairdresser isAfter [GEN],PersonX gets a haircut,hair cut,hair cut,0.59,0.59,1.0
[Name] outran the hairdresser isBefore [GEN],Isabella outran the hairdresser,PersonX gets a haircut,PersonX gets a haircut,0.417,0.417,1.0
[Name] outran the hairdresser isFilledBy [GEN],hair,hair,hair,1.0,1.0,1.0
[Name] outran the hairdresser oEffect [GEN],smiles,smiles,gets paid,1.0,0.233,0.233
[Name] outran the hairdresser oReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] outran the hairdresser oWant [GEN],to get paid,get paid,get paid,0.754,0.754,1.0
[Name] outran the hairdresser xAttr [GEN],brave,confused,confused,0.224,0.224,1.0
[Name] outran the hairdresser xEffect [GEN],smiles,smiles,smiles,1.0,1.0,1.0
[Name] outran the hairdresser xIntent [GEN],look nice,look nice,look good,1.0,0.817,0.817
[Name] outran the hairdresser xNeed [GEN],go to hairdresser,go to hairdresser,go to hairdresser,1.0,1.0,1.0
[Name] outran the hairdresser xReact [GEN],happy,happy,happy,1.0,1.0,1.0
[Name] outran the hairdresser xReason [GEN],babysit,she is in love,hair cut,0.107,0.245,0.158
[Name] outran the hairdresser xWant [GEN],to go home,to go home,to go home,1.0,1.0,1.0
[Name] told the baker AtLocation [GEN],kitchen,kitchen,kitchen,1.0,1.0,1.0
[Name] told the baker CapableOf [GEN],bread fish,bread fish,bread fish,1.0,1.0,1.0
[Name] told the baker Causes [GEN],dissatisfied,food poisoning,dessert,0.123,0.294,0.344
